SchoolNumber,Name,Address,ZipCode9,Phone,PrincipalName,GradeLevels,WebUrl,SchoolTypeDescription
150,Oakland,4580 Dearborn St.,,720-424-5070,Lisa Mahannah,ECE - Grade 5,http://oakland.dpsk12.org/,Elementary
158,Pascual LeDoux Academy,1055 S. Hazel Court,,720-423-9240,Leticia Jara-Leake,ECE - ECE,http://pascualledoux.dpsk12.org,Other
159,DCIS at Fairmont,520 W. 3rd Ave.,,720-424-7620,Vanessa Acevedo,ECE - Grade 5,http://dcisfairmont.dpsk12.org/,Elementary
161,Monarch Montessori,4895 Peoria St,,303-712-2001,Ann Massengill,K - Grade 5,http://www.monarchM.com,Elementary
162,Joe Shoemaker School,3333 S. Havana St.,,720-423-9333,Christine Fleming,ECE - Grade 5,http://shoemaker.dpsk12.org,Elementary
163,Rocky Mountain Prep Creekside,7808 Cherry Creek South Dr,,720-863-8920,Austen Kassinger,ECE - Grade 5,http://www.rockymountainprep.org/,Elementary
165,Creativity Challenge Community (C3),1551 S. Monroe St.,,720-424-0630,Julia Shepherd,K - Grade 5,http://c3.dpsk12.org,Elementary
166,DCIS at Ford,14500 Maxwell Place,,720-424-7300,Ginger Conroy,ECE - Grade 5,http://dcisatford.dpsk12.org/,Elementary
168,University Prep - Arapahoe St.,2409 Arapahoe St.,,303-292-0463,John Argue,K - Grade 3,http://www.uprepschool.org,Elementary
170,High Tech Elementary,8499 Stoll Place,,720-424-2100,Amy Gile,ECE - Grade 5,http://hightechelementary.dpsk12.org/,Elementary
172,Greenlee,1150 Lipan St.,80204-3506,720-424-6800,Sheldon Reynolds,ECE - Grade 5,http://greenlee.dpsk12.org,Elementary
174,Swigert International School,3480 Syracuse,,720-424-4800,Shelby Dennis,ECE - Grade 5,http://swigert.dpsk12.org/,Elementary
175,SOAR at Green Valley Ranch,4800 Telluride St.,,720-287-5100,Laurie Godwin,K - Grade 5,http://www.soardenver.org/,Elementary
176,Denver Language School,451 Newport St.,,303-557-0852,Kathy Benzel,K - Grade 8,http://www.denverlanguageschool.org,K-8
177,Denver Green School,6700 East Virginia Ave.,,720-424-7480,Frank Coyne,ECE - Grade 8,http://www.denvergreenschool.org/,K-8
178,Stephen Knight Center for Early Education,3245 E. Exposition Ave.,80209-4924,720-424-6500,Shelia Deacon,ECE - K,http://skcee.dpsk12.org,Other
179,Escalante-Biggs Academy,5300 Crown Blvd.,,720-424-4620,Eric Love,ECE - K,http://eba.dpsk12.org,Other
181,Academy 360,12000 E. 47th Ave.,,303-574-1360,Eric Brucz,ECE - Grade 5,http://www.academy-360.org/,Elementary
182,Downtown Denver Expeditionary School,1860 Lincoln St,,720-424-2350,Scott Mengel,K - Grade 5,http://www.ddeschool.org,Elementary
183,Highline Academy Northeast,19451 East Maxwell Place,,720-485-5172,Andria Hinman,ECE - Grade 5,http://www.highlineacademy.org,Elementary
184,Rocky Mountain Prep Southwest,911 S Hazel Ct,,720-863-8920,Jennifer Reese,ECE - Grade 5,http://rockymountainprep.org/,Elementary
185,Kunsmiller Creative Arts Academy ES,2250 S. Quitman Way,,720-424-0200,Dan Villesces,K - Grade 5,http://kcaa.dpsk12.org,Elementary
186,Math and Science Leadership Academy,451 S. Tejon St.,80223-1928,720-424-1310,Rebecca Lane,K - Grade 5,http://msla.dpsk12.org,Elementary
187,STRIVE Prep - Ruby Hill,2626 W. Evans,,720-460-2800,Alexa Mason,K - Grade 5,http://www.striveprep.org,Elementary
188,Cole Arts & Science Academy,3240 Humboldt St.,80205-3934,720-423-9120,Jennifer Jackson,ECE - Grade 5,http://www.colecasa.org,Elementary
189,Trevista at Horace Mann,4130 Navajo St.,80211-2534,720-423-9800,Jesus Rodriguez,ECE - Grade 5,http://trevista.dpsk12.org/,Elementary
